Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2017-11-26 0:00	8718	8722.93	8690.28	8713.44	21.7	188813.93	8699.62
2017-11-26 0:05	8713.44	8714.72	8690.28	8697.67	17.83	155043.65	8693.24
2017-11-26 0:10	8692.05	8697.67	8686	8694.67	14.6	126854.26	8688.98
2017-11-26 0:15	8694.68	8727.94	8688	8718.99	9.22	80405.24	8717.66
2017-11-26 0:20	8713.11	8722.15	8699.9	8719.34	4.42	38467.67	8708.29
2017-11-26 0:25	8719.34	8735	8712.75	8734.95	4.69	40923.2	8722.49
2017-11-26 0:30	8733.87	8744	8720	8729.99	62.46	545444.66	8733
2017-11-26 0:35	8729.99	8760	8720.01	8759.97	51.91	454159.27	8749.34
2017-11-26 0:40	8758.85	8759.98	8746.88	8750	36.77	321712.06	8750.1
2017-11-26 0:45	8750	8775.9	8749.02	8775.9	15.74	137976.03	8765.49
2017-11-26 0:50	8775.9	8787	8769.13	8769.13	64.19	563618.45	8780.16
2017-11-26 0:55	8769	8779.99	8757.03	8778.01	43.17	378618.69	8770.93
2017-11-26 1:00	8779.99	8779.99	8760.01	8760.01	15.42	135262.83	8770.36
2017-11-26 1:05	8769.99	8769.99	8740.56	8769.97	37.96	332306	8753.64
2017-11-26 1:10	8769.99	8827.66	8769.55	8799.05	165.4	1454429.84	8793.46
2017-11-26 1:15	8798.78	8827.22	8789.71	8810	32.28	284564.73	8814.35
2017-11-26 1:20	8810	8810	8756.48	8756.48	25.56	224621.75	8788.17
2017-11-26 1:25	8753.89	8779.22	8733.12	8748.56	27.44	239978.18	8746.98
2017-11-26 1:30	8748.56	8748.56	8710.6	8715	18.59	162241.03	8726.42
2017-11-26 1:35	8714.84	8750.57	8714.84	8747.37	28.79	251245.1	8726.23
2017-11-26 1:40	8747.35	8783.86	8740.1	8782	7.82	68621.59	8775.75
2017-11-26 1:45	8782	8793.88	8776.58	8789.66	4.14	36341.85	8782.3
2017-11-26 1:50	8793.88	8799.99	8770	8777.99	43.05	378207.09	8785.45
2017-11-26 1:55	8774.45	8797.98	8755.72	8797.98	25.42	222873.97	8767.76
2017-11-26 2:00	8787.92	8798	8784.58	8798	5.65	49681.94	8795.8
2017-11-26 2:05	8796.14	8798	8790	8798	5.66	49811.77	8796.24
2017-11-26 2:10	8798	8829.99	8797.68	8829.99	44.7	393455	8803.04
2017-11-26 2:15	8829.99	8849.99	8799.82	8849	63.01	556706.23	8835.44
2017-11-26 2:20	8848.94	8849.99	8815.09	8849.43	40.43	356967.65	8829.09
2017-11-26 2:25	8849.38	8849.99	8748.41	8810.75	134.91	1184559.07	8780.57
2017-11-26 2:30	8810.75	8821.31	8580.01	8580.01	447.18	3884484.42	8686.69
2017-11-26 2:35	8580.01	8712.96	8538.2	8678.01	233.12	1999467.41	8576.86
2017-11-26 2:40	8678	8720.74	8648.21	8720.43	21.91	190290.31	8686.58
2017-11-26 2:45	8720.43	8723	8668.98	8694	26.75	232768.18	8701.3
2017-11-26 2:50	8694	8695	8648.99	8688.91	127.4	1103797.01	8664.03
2017-11-26 2:55	8684.3	8698.8	8675	8697.71	33.53	291510.97	8693.12
2017-11-26 3:00	8684.35	8733	8684.35	8716.96	15.77	137399.37	8710.88
2017-11-26 3:05	8718.21	8734	8718.21	8733.16	33.52	292631.86	8730.27
2017-11-26 3:10	8734	8759.1	8733.19	8753.42	5.74	50178.08	8746.83
2017-11-26 3:15	8753.42	8753.42	8723.33	8734.57	20.11	175813.64	8741.69
2017-11-26 3:20	8734.57	8755.92	8727.22	8755.92	4.11	35924.5	8741.9
2017-11-26 3:25	8755.92	8766.45	8755.92	8766.45	10.47	91733.73	8761.25
2017-11-26 3:30	8766.45	8785	8752.13	8769.46	35.25	309399.83	8777.67
2017-11-26 3:35	8769.46	8776.1	8740.84	8755.92	16.07	140759.58	8761.05
2017-11-26 3:40	8755.93	8769.98	8743.77	8769.98	4.23	37076.62	8764.78
2017-11-26 3:45	8769.98	8769.98	8766.31	8769.98	10.14	88899.06	8767.93
2017-11-26 3:50	8769.9	8777.62	8763.64	8777.6	8.89	78035.27	8774.23
2017-11-26 3:55	8775.1	8784.67	8764.79	8765.1	12.77	112138.48	8778.03
2017-11-26 4:00	8779.17	8779.17	8740.81	8767.81	45.23	396046.94	8756.26
2017-11-26 4:05	8773.27	8773.27	8744.3	8766.98	3.82	33475.53	8765.39
2017-11-26 4:10	8766.93	8780	8755.6	8780	11.91	104423.45	8769.26
2017-11-26 4:15	8785	8801.32	8785	8798.99	11.98	105396.71	8794.85
2017-11-26 4:20	8798.99	8800	8790.02	8794	13.55	119172.16	8795.17
2017-11-26 4:25	8794	8800	8787	8800	12.99	114282.88	8794.83
2017-11-26 4:30	8799.9	8800	8799.9	8800	6.22	54777.84	8800
2017-11-26 4:35	8800	8802.36	8792	8802.36	40.89	359901.55	8802.29
2017-11-26 4:40	8802.35	8802.36	8790.31	8802.36	39.22	345207.4	8800.95
2017-11-26 4:45	8802.35	8802.36	8798	8802.36	20.75	182671.98	8802.31
2017-11-26 4:50	8802.36	8842.42	8802	8842.42	45.28	399001.86	8811.13
2017-11-26 4:55	8842.75	8870.85	8825.56	8852.47	31.6	279693.44	8850.03
2017-11-26 5:00	8852.47	8874.99	8827.12	8874.98	14.93	132392.04	8868.17
2017-11-26 5:05	8870	8876	8855.16	8875.99	15.1	133976.81	8872.52
2017-11-26 5:10	8876	8877.08	8869.51	8869.51	45.32	402272.78	8876.42
2017-11-26 5:15	8869.01	8871.74	8841.26	8850	40.87	361998.94	8856.66
2017-11-26 5:20	8858.6	8869.68	8758.34	8800	34.19	301225.92	8809.31
2017-11-26 5:25	8800	8826.38	8780.16	8822	27.13	238849.23	8804.06
